id,mesin,value,created_at,next_processes,std_mp,std_ct,stroke_ratio,harga_pcs,alias_values
03834655-2a59-4882-992a-adfc92eb2531,transfer_2000t,61231-BZ370,2026-07-21 01:12:07.288115+00,[],null,0.06555555555555556,0.5,18463.07,[]
1ec233cc-e9f0-4d63-abc5-5ea3fb37c046,transfer_2000t,61232-BZ360,2026-07-21 01:12:07.288115+00,[],null,0.06555555555555556,0.5,18463.07,[]
00e6eff6-464d-47c6-bac5-9f7340ce3fce,transfer_2000t,61233-BZ140-001,2026-07-21 01:12:07.288115+00,[],null,0.07521739130434782,0.5,22522.89,[]
f02b7f89-353b-4d32-b9fe-49dbe28608bd,transfer_2000t,61234-BZ130-001,2026-07-21 01:12:07.288115+00,[],null,0.07521739130434782,0.5,22522.89,[]
cbf96630-8f6c-47e6-9e6d-1af827e01a7c,transfer_2000t,61327-BZ230-001,2026-07-17 06:35:11.487156+00,[],null,0.16285714285714287,1,76761.9,[]
78d4f856-089d-4528-aeb0-d7fe9437d1f5,transfer_2000t,61328-BZ240-001,2026-07-17 06:35:11.487156+00,[],null,0.16285714285714287,1,76761.9,[]
1e8c4277-bd0f-44d4-bd9f-a63ebbc6b614,transfer_2000t,61337-BZ140,2026-07-21 01:12:07.288115+00,[],null,0.07521739130434782,0.5,null,[]
593ce6b0-a80d-4830-86a3-bfa86d939866,transfer_2000t,61338-BZ120,2026-07-21 01:12:07.288115+00,[],null,0.07521739130434782,0.5,null,[]
81ea0e26-5f52-452c-bb07-07c2fa6b0d41,transfer_2000t,61343-0D230-001,2026-07-17 06:35:11.487156+00,[],null,0.15636363636363637,1,27709.54,[]
bcd0605b-9e27-4df0-b74c-f4f0c88d1ea3,transfer_2000t,61344-0D230-001,2026-07-17 06:35:11.487156+00,[],null,0.15636363636363637,1,27680.98,[]
f7c92bb4-8f8c-45ac-9f47-e208b03a9842,transfer_2000t,61433-0D330-001,2026-07-17 06:35:11.487156+00,[],null,0.15636363636363637,1,127239.51,[]
6920cd7b-76d4-445a-9a86-8d0816c3aeb5,transfer_2000t,61434-0D330-001,2026-07-17 06:35:11.487156+00,[],null,0.15636363636363637,1,127239.51,[]
fd0234a4-afb3-4337-90cf-663c4ef9440e,transfer_2000t,61671-0D080,2026-07-21 01:12:07.288115+00,[],null,0.07818181818181819,0.5,21370.5,[]
95af8d51-2cb4-4095-9555-86d76e182b6b,transfer_2000t,61672-0D080,2026-07-21 01:12:07.288115+00,[],null,0.07818181818181819,0.5,21370.5,[]
aaabeeb2-1fbe-48f5-b6c5-c6c8a4b5a825,transfer_2000t,67121-0D160,2026-07-21 01:12:07.288115+00,[],null,0.07818181818181819,0.5,22222.47,[]
f4ba2d1c-536f-45dc-8555-50fc52904297,transfer_2000t,67121-0D200,2026-07-21 01:12:07.288115+00,[],null,0.09333333333333332,0.5,8678.49,[]
fd10b928-f4b1-4a0f-8686-7b2dd41f6ef0,transfer_2000t,67122-0D160,2026-07-21 01:12:07.288115+00,[],null,0.07818181818181819,0.5,22222.47,[]
c6503ecc-3739-40b6-bffe-4fcf1c8423ca,transfer_2000t,67125-0D140,2026-07-21 01:12:07.288115+00,[],null,0.07818181818181819,0.5,7410.77,[]
053c0466-8cad-4437-a414-a74b868ff8f5,transfer_2000t,67125-0D190,2026-07-21 01:12:07.288115+00,[],null,0.085,0.5,7555.67,[]
bf75fa23-ec80-44e7-b73f-f1b62097f956,transfer_2000t,67126-0D140,2026-07-21 01:12:07.288115+00,[],null,0.07818181818181819,0.5,7410.77,[]
9189ed9e-5372-4f60-acd8-8c2d68fe8e34,transfer_2000t,67126-0D190,2026-07-21 01:12:07.288115+00,[],null,0.085,0.5,7555.67,[]
4ee807f7-b4e8-47bb-b4ee-00c4d709a88c,transfer_2000t,67151-0D150,2026-07-17 06:35:11.487156+00,[],null,0.14,1,66053.95,[]
b66bdd38-44ca-4752-a361-bb30ad0221ac,transfer_2000t,67152-0D150,2026-07-17 06:35:11.487156+00,[],null,0.14,1,66053.95,[]
